ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",5000,2,20,0.6,10,51,0.01634472511144131,0.32492345571517944,1.1810594819055664
"(1, 1)",5000,2,20,0.6,15,40,0.043462109955423475,0.3526163399219513,1.2227188540784586
"(1, 1)",5000,2,20,0.8,5,60,0.0,0.3439900577068329,0.3153001755539062
"(1, 1)",5000,2,20,0.8,10,48,0.015973254086181277,0.3328227400779724,1.1382250872834352
"(1, 1)",5000,2,20,0.8,15,36,0.04290490341753343,0.36231735348701477,1.1356069120066323
"(1, 1)",5000,2,20,1.0,5,59,0.0,0.3547813594341278,0.3077018002811447
"(1, 1)",5000,2,20,1.0,10,47,0.015973254086181277,0.3466673791408539,1.1191173253995208
"(1, 1)",5000,2,20,1.0,15,35,0.04290490341753343,0.430797278881073,1.1045744749658317
"(1, 1)",5000,2,50,0.2,5,164,0.0962109955423477,0.41718509793281555,0.7997194439846711
"(1, 1)",5000,2,50,0.2,10,129,0.22065378900445765,0.34388381242752075,0.9373733116253301
"(1, 1)",5000,2,50,0.2,15,95,0.3545690936106984,0.20773346722126007,1.0521574322149816
"(1, 1)",5000,2,50,0.4,5,76,0.007986627043090638,0.33071383833885193,0.4685798928730953
"(1, 1)",5000,2,50,0.4,10,62,0.0338038632986627,0.3165728449821472,1.0993121133151706
"(1, 1)",5000,2,50,0.4,15,57,0.0774517087667162,0.41372281312942505,1.4266587417155439
"(1, 1)",5000,2,50,0.6,5,65,0.0,0.3425917327404022,0.3412855230500763
"(1, 1)",5000,2,50,0.6,10,53,0.01764487369985141,0.42440328001976013,1.1329404094463371
"(1, 1)",5000,2,50,0.6,15,41,0.0462481426448737,0.435225248336792,1.2586795701596825
"(1, 1)",5000,2,50,0.8,5,61,0.0,0.34558403491973877,0.3165612972202959
"(1, 1)",5000,2,50,0.8,10,48,0.017459138187221397,0.3395172953605652,1.0861497851949544
"(1, 1)",5000,2,50,0.8,15,35,0.04606240713224369,0.3561236262321472,1.1673214839811341
"(1, 1)",5000,2,50,1.0,5,58,0.0,0.4153314530849457,0.2963730788563269
"(1, 1)",5000,2,50,1.0,10,46,0.01634472511144131,0.39667293429374695,1.0642386908954637
"(1, 1)",5000,2,50,1.0,15,34,0.04290490341753343,0.45236656069755554,1.1538004853072052
"(1, 1)",5000,2,100,0.2,5,164,0.1062407132243685,0.43759557604789734,0.8173233269578518
"(1, 1)",5000,2,100,0.2,10,121,0.23179791976225855,0.34125590324401855,0.9001210114848388
"(1, 1)",5000,2,100,0.2,15,93,0.37054234769687966,0.19991081953048706,1.008392956549385
"(1, 1)",5000,2,100,0.4,5,73,0.00650074294205052,0.2694796919822693,0.47908223491212815
"(1, 1)",5000,2,100,0.4,10,68,0.029346210995542348,0.36598870158195496,1.24603655297148
"(1, 1)",5000,2,100,0.4,15,54,0.07726597325408618,0.3339542746543884,1.3594749707509541
"(1, 1)",5000,2,100,0.6,5,65,0.0,0.4255339205265045,0.2922718543328293
"(1, 1)",5000,2,100,0.6,10,52,0.017459138187221397,0.4234163761138916,1.2119635198771341
"(1, 1)",5000,2,100,0.6,15,39,0.046433878157503716,0.43308624625205994,1.3024594839205728
"(1, 1)",5000,2,100,0.8,5,60,0.0,0.353463739156723,0.30685010632591075
"(1, 1)",5000,2,100,0.8,10,48,0.016716196136701337,0.33622661232948303,1.1773897141108665
"(1, 1)",5000,2,100,0.8,15,35,0.04550520059435364,0.3630724251270294,1.244330458975869
"(1, 1)",5000,2,100,1.0,5,57,0.0,0.37823572754859924,0.28904020314550904
"(1, 1)",5000,2,100,1.0,10,47,0.013930163447251115,0.3623586595058441,1.2253970972253734
